ProductName," CompanyName"," PayMethod"," Date"," Credit"," Debit"," Comment"
,105,Cash,2013-01-06,44.00,,
,Retail,Cash,2013-01-06,6000.00,,
," 6/60",Cash,2013-01-06,50.00,,
," 6/60",Cash,2013-01-06,43.00,,
,Retail,Cash,2013-01-06,66.00,,
,Retail,Cash,2013-01-25,5.00,,
,"1/125 Metang",Cash,2013-01-25,1.00,,
,"1/125 Metang",Cash,2013-01-25,1.00,,
,"1/125 Metang",Cash,2013-01-25,1.00,,
,"1/125 Metang",Cash,2013-01-25,1.00,,
,"1/125 Metang",Cash,2013-01-25,1.00,,
,test,Cash,2013-02-01,200.00,,
,Retail,Cash,2013-02-01,100.00,,
Salary,,,2013-01-06,,4444.00,"give to eddi"
"FULL BREAS",,,2013-01-06,,30.00,cxsa
" "," "," "," "," ","Amount "," 2139"
